target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
RS007555-PA	0.00160857931769572	0.0131413270354227	1.7414328623372	0.552074041246747	2.27885057860199	1.73313419098472	0.280691672801593	0.633665568253953	0.0923629255142329	0.633665568253953
RS004034-PA	0.00162142577780368	0.0132252024837053	-0.447362868795861	0.141928733655741	4.22222344364961	0.10722158966972	0.0166311126584569	0.0438001836529102	0.0281599452402911	0.0438001836529102
RS013452-PA	0.00162166221017214	0.0132252024837053	-0.610038901024519	0.193541360338873	3.09956242278506	0.189821086155867	0.0601646840048831	0.0438103381843594	0.0522100904805812	0.0522100904805812
RS014597-PA	0.00162192970539263	0.0132252024837053	3.32296726489617	1.05426298346737	6.02271165572971	6.01791895533596	0.0439666256805166	3.29044468924806	0.0180838876023289	3.29044468924806
RS005948-PA	0.00162570535626545	0.0132475939322783	-0.864487228812177	0.274331100496108	2.40541454835211	0.388546728003359	0.140329474814225	0.0854431832839911	0.0836600577457886	0.0854431832839911
RS013501-PA	0.00162948191967128	0.0132699644686141	-0.499378220466933	0.158503724978402	3.87806609075933	0.138839664811151	0.0259429775208601	0.0494273149752263	0.0337964465916774	0.0494273149752263
RS010391-PA	0.00163462967951263	0.0133034662152366	-0.36671966972077	0.116431668166736	4.32818210086356	0.0559135366939499	0.0139505382221558	0.00892653886691098	0.026718461834111	0.026718461834111
RS012090-PA	0.00164219711219565	0.0133566057159428	0.712088403692428	0.226181449124125	2.95576233123142	0.27440948805893	0.065909485650876	0.0875646581327919	0.056814991343483	0.0875646581327919
RS009846-PA	0.00164833715514928	0.0133980759161755	-0.456714444246083	0.14511701482352	4.30088464456919	0.108963313876277	0.0165144693409685	0.0466623746329006	0.0270776211936114	0.0466623746329006
RS007926-PA	0.00165029358173229	0.0134055097955489	0.524185616448553	0.166573745892627	3.30741098096314	0.107385947280688	0.0366605666961619	-0.00568208834881823	0.0465798717659427	0.0465798717659427
RS009379-PA	0.00165251823613129	0.0134151117629661	0.567534634775187	0.180371613875711	3.27071368625094	0.17451551043617	0.0414932053475713	0.056108551928814	0.0475094738115134	0.056108551928814
RS003297-PA	0.00167198770201202	0.0135570564433398	0.443152767331349	0.14099461854283	5.00888871734124	0.102356356158494	0.00718103625557162	0.0524574111185431	0.0203991851622963	0.0524574111185431
RS013778-PA	0.00167211071544107	0.0135570564433398	0.267559289205044	0.0851279314335097	6.5929036384996	0.0382318752657103	0.00134778324289193	0.020392510887553	0.0194107301071658	0.020392510887553
RS004927-PA	0.00167606919281319	0.0135805933903825	0.268823886966389	0.0855491225257882	5.56132462944112	0.0309175991938803	0.00383537508367003	0.00984446140869724	0.0181205820111269	0.0181205820111269
RS011421-PA	0.00168932949573661	0.0136794226693788	0.446949187896998	0.142339335634529	3.71939682061559	0.104390010434377	0.0237325473830669	0.0334919427414241	0.0370489120235706	0.0370489120235706
RS003437-PA	0.00169504123602074	0.0137170412477226	0.431228399712961	0.137376022855609	3.8311011449373	0.0716423125065535	0.021896185029333	-0.00212190069162914	0.0347203299375414	0.0347203299375414
RS012812-PA	0.00170048721566253	0.0137524632331426	-0.883986767602088	0.281695189851174	4.6940028948353	0.408119227343507	0.01237977428605	0.225676765669816	0.0227615884695695	0.225676765669816
RS003637-PA	0.00170860462791741	0.013809432002144	-1.43829189667668	0.458536546550008	1.76451444399194	1.08031743242515	0.186164598888533	0.44460269467749	0.141706069365144	0.44460269467749
RS001157-PA	0.00171002235212623	0.0138122144411853	-0.967849369623655	0.308580421727455	2.1579718884085	0.435878646963398	0.183878851989994	0.0350693750958108	0.101786778030488	0.101786778030488
RS012571-PA	0.00171826558331095	0.0138700898748193	0.279315594348871	0.0890945466158357	5.29296843518922	0.0395549910025432	0.0049130512941888	0.0163871240337889	0.0189004634158552	0.0189004634158552
RS001471-PA	0.00172466518512196	0.0139130200231751	0.675693671663168	0.21560404791305	6.53264319771412	0.254362299920081	0.00148846214951118	0.137966854279967	0.0192553535636864	0.137966854279967
RS007940-PA	0.00173214700096173	0.0139646212164001	-0.496451632870478	0.158474755937037	3.57368646715442	0.107606408992093	0.0350507357837333	0.0141751163260075	0.0402920090241769	0.0402920090241769
RS011683-PA	0.00173663440209846	0.0139920318420794	-0.317932236296651	0.1015133185967	4.79437780579061	0.0572791103073476	0.00900104926911911	0.0210254886664209	0.0219138122884261	0.0219138122884261
RS012240-PA	0.00174056436298231	0.0140149196861661	-0.544722311857212	0.173962512365873	3.31884767368668	0.133013175735025	0.0444943201534702	0.0144678125721963	0.0462945469724695	0.0462945469724695
RS006790-PA	0.00175064394957033	0.014087264352171	0.318182512726803	0.101669833390331	4.74342006734702	0.0402115042750406	0.00867745038327956	0.00644181514264989	0.0223328146815736	0.0223328146815736
RS004946-PA	0.0017566329845288	0.0141266228824575	-0.315913533044555	0.100977197695064	4.79490682417814	0.0503113248807376	0.00867959845866255	0.0138553193100932	0.0219095849043817	0.0219095849043817
RS001148-PA	0.00175812886566864	0.0141298214332033	-0.400606347388683	0.128058271691663	4.103073420155	0.0742348097091085	0.0192726663891164	0.00980069636777157	0.0299240964568507	0.0299240964568507
RS006105-PA	0.00176183426962003	0.0141419348391772	0.385955399312205	0.123399342568386	6.59272293347414	0.0795287397166095	0.00142504901945919	0.0442571442194701	0.0194102591829463	0.0442571442194701
RS012527-PA	0.0017609356287389	0.0141419348391772	-0.381172127918595	0.121864171184691	4.19409039136057	0.0741854200582633	0.0159891855148887	0.0230022916532365	0.0285634431407061	0.0285634431407061
RS004608-PA	0.00176692417009304	0.0141630802004562	0.291564809643452	0.0932456551241298	8.43456885313007	0.0432367542481163	0.000235957750533503	0.0227763246100597	0.025848298848051	0.025848298848051
RS006657-PA	0.00176763045462867	0.0141630802004562	0.570766963361209	0.182544455694883	7.07525108644251	0.172523762566193	0.000942919471473144	0.0990245154433499	0.0207762531051434	0.0990245154433499
RS010418-PA	0.00176777079365296	0.0141630802004562	0.277337920340172	0.0886997337190567	7.78191655689138	0.0415745837497786	0.000422027555635292	0.0203077853570992	0.0231809007298594	0.0231809007298594
RS014677-PA	0.00176970173753811	0.0141697276023042	-0.336743169742437	0.107710104120379	5.62379465250759	0.0635728842076368	0.00355968757688539	0.0312447120119831	0.0180222777484181	0.0312447120119831
